date,new_cases,total_cases,new_tests,total_tests,new_deaths,total_deaths,cases_per_million,tests_per_million,deaths_per_million
2020-06-25,577,239410,29421.0,3140785.0,-31,34644,3959.688416962848,572.9896224771768,51946.57693776642
2020-06-26,296,239706,28331.0,3169116.0,34,34678,3964.5840678187897,573.5519607511701,52415.15357425184
2020-06-27,255,239961,29721.0,3198837.0,30,34708,3968.8016048737395,574.0481415811643,52906.71992252699
2020-06-28,175,240136,21183.0,3220020.0,8,34716,3971.695993048705,574.1804564691627,53257.07320658582
2020-06-29,174,240310,15484.0,3235504.0,22,34738,3974.5738418626706,574.5443224111583,53513.16867230677
2020-06-30,126,240436,28471.0,3263975.0,6,34744,3976.657801348646,574.6435585771571,53984.06081933216
2020-07-01,142,240578,29325.0,3293300.0,23,34767,3979.006390610618,575.0239638801526,54469.077580651385
2020-07-02,182,240760,29147.0,3322447.0,21,34788,3982.0165543125822,575.3712904611485,54951.15033571264
2020-07-03,201,240961,25680.0,3348127.0,30,34818,3985.3409658735427,575.8674712911426,55375.88112618758
2020-07-04,223,241184,28946.0,3377073.0,15,34833,3989.0292433764985,576.1155617061396,55854.62946968788
2020-07-05,235,241419,21166.0,3398239.0,21,34854,3992.915993211452,576.4628882871355,56204.70158460971
2020-07-06,192,241611,13771.0,3412010.0,7,34861,3996.0915505234148,576.5786638141341,56432.465124938004
2020-07-07,208,241819,22490.0,3434500.0,8,34869,3999.5317376113735,576.7109787021325,56804.435353823574
2020-07-08,137,241956,28679.0,3463179.0,30,34899,4001.7976300683467,577.2071595321266,57278.767687936925
2020-07-09,193,242149,29947.0,3493126.0,15,34914,4004.9897267413085,577.4552499471237,57774.071931798026
2020-07-10,214,242363,27251.0,3520377.0,12,34926,4008.5291499952664,577.6537222791213,58224.78605840366
2020-07-11,276,242639,25449.0,3545826.0,12,34938,4013.094013631212,577.852194611119,58645.696256487645
2020-07-12,188,242827,23061.0,3568887.0,7,34945,4016.203413499175,577.9679701381176,59027.110460504104
2020-07-13,234,243061,14006.0,3582893.0,9,34954,4020.073623973129,578.1168243871158,59258.760750667345
2020-07-14,169,243230,24222.0,3607115.0,13,34967,4022.8687759820955,578.3318360801132,59659.377152804576
